title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Land of Bad,18000000,7021101,113,8.9754,7.3,1279,False,William Eubank,Liam Hemsworth,-10978899,-1.563700479454718,Broken Open Pictures,Action,War,Thriller
The Last Samurai,140000000,456800000,154,8.975,7.591,7076,False,Edward Zwick,Tom Cruise,316800000,0.6935201401050788,Warner Bros. Pictures,Drama,Action,War
Elysium,115000000,286140700,109,8.9471,6.514,9077,False,Neill Blomkamp,Matt Damon,171140700,0.5980998159297157,TriStar Pictures,Science Fiction,Action,Drama
He's Just Not That Into You,40000000,178866158,129,8.9384,6.607,3833,False,Ken Kwapis,Ginnifer Goodwin,138866158,0.7763690994022469,Flower Films,Comedy,Romance,Drama
Now You See Me 2,120000000,334897606,129,8.931,6.824,10926,True,Jon M. Chu,Jesse Eisenberg,214897606,0.6416815233967363,Summit Entertainment,Thriller,Crime,
Ghost Rider,110000000,228738393,114,8.9296,5.577,6082,True,Mark Steven Johnson,Nicolas Cage,118738393,0.519101281786132,Crystal Sky Pictures,Thriller,Action,Fantasy
The Mist,18000000,57470220,126,8.9263,6.938,5411,False,Frank Darabont,Thomas Jane,39470220,0.6867943084261727,Darkwoods Productions,Horror,Science Fiction,Thriller
Nymphomaniac: Vol. II,2350000,4934725,124,8.9174,6.714,2973,True,Lars von Trier,Charlotte Gainsbourg,2584725,0.5237829868938999,Zentropa Entertainments,Drama,Mystery,
Van Helsing,160000000,300257475,132,8.9022,6.379,6183,False,Stephen Sommers,Hugh Jackman,140257475,0.46712400748724076,Universal Pictures,Horror,Adventure,Action
Shazam! Fury of the Gods,125000000,134038006,130,8.8926,6.472,3327,True,David F. Sandberg,Zachary Levi,9038006,0.06742868138459177,New Line Cinema,Comedy,Action,Fantasy
The Dreamers,15000000,15100000,115,8.8917,7.2,2941,False,Bernardo Bertolucci,Michael Pitt,100000,0.006622516556291391,Recorded Picture Company,Drama,Romance,
The Passion of the Christ,30000000,610063468,127,8.8872,7.5,4858,True,Mel Gibson,Jim Caviezel,580063468,0.9508247886103549,Icon Productions,Drama,,
Hitman: Agent 47,35000000,81967450,96,8.8795,5.878,3115,True,Aleksander Bach,Rupert Friend,46967450,0.5730012340264337,Daybreak Productions,Action,Crime,Thriller
The Gentlemen,22000000,115171795,113,8.8778,7.68,6093,False,Guy Ritchie,Matthew McConaughey,93171795,0.8089810096300053,Miramax,Comedy,Crime,
Terminator: Dark Fate,185000000,261119292,128,8.8609,6.422,5303,True,Tim Miller,Linda Hamilton,76119292,0.2915115593986828,20th Century Fox,Science Fiction,Action,Adventure
Sicario,30000000,84997446,122,8.8608,7.411,8924,True,Denis Villeneuve,Emily Blunt,54997446,0.6470482183664672,Lionsgate,Action,Crime,Thriller
Weekend in Taipei,30000000,2826064,101,8.8488,6.2,188,False,George Huang,Luke Evans,-27173936,-9.615470845670869,EuropaCorp,Action,Adventure,Thriller
Kingsman: The Golden Circle,104000000,410902662,141,8.8418,6.957,10627,True,Matthew Vaughn,Taron Egerton,306902662,0.7468986949517499,20th Century Fox,Action,Adventure,Comedy
The Perks of Being a Wallflower,13000000,33384127,103,8.8283,7.796,10684,False,Stephen Chbosky,Logan Lerman,20384127,0.6105933816990332,Mr. Mudd,Drama,,
Blended,40000000,128000000,117,8.8232,6.887,3620,False,Frank Coraci,Adam Sandler,88000000,0.6875,GulfStream Pictures,Comedy,Romance,
How the Grinch Stole Christmas,123000000,345800000,104,8.8132,6.772,7786,False,Ron Howard,Jim Carrey,222800000,0.6443030653556969,Universal Pictures,Family,Comedy,Fantasy
Rambo: Last Blood,50000000,91500000,89,8.7953,6.537,3998,True,Adrian Grünberg,Sylvester Stallone,41500000,0.453551912568306,Millennium Media,Action,Thriller,Drama
Hancock,150000000,629400000,92,8.7817,6.348,9780,False,Peter Berg,Will Smith,479400000,0.7616777883698761,Columbia Pictures,Fantasy,Action,
Monster House,75000000,140175006,91,8.7815,6.691,4075,False,Gil Kenan,Mitchel Musso,65175006,0.4649545440361886,ImageMovers,Animation,Comedy,Family
Robots,75000000,262511490,90,8.7804,6.465,4682,False,Chris Wedge,Ewan McGregor,187511490,0.7142982198607764,Blue Sky Studios,Animation,Comedy,Family
The Hunger Games: Catching Fire,130000000,865011746,146,8.7758,7.427,17700,True,Francis Lawrence,Jennifer Lawrence,735011746,0.8497130234344817,Lionsgate,Adventure,Action,Science Fiction
The Shape of Water,19500000,195300000,123,8.7702,7.242,12340,False,Guillermo del Toro,Sally Hawkins,175800000,0.9001536098310292,Double Dare You,Drama,Fantasy,Romance
300: Rise of an Empire,110000000,337580051,102,8.7525,6.1,6642,True,Noam Murro,Sullivan Stapleton,227580051,0.6741513615092143,Legendary Pictures,Action,Drama,War
Instant Family,48000000,121000000,118,8.7459,7.5,3048,False,Sean Anders,Mark Wahlberg,73000000,0.6033057851239669,Closest to the Hole Productions,Comedy,Drama,
Wonder,20000000,315025930,113,8.7394,8.118,8008,True,Stephen Chbosky,Jacob Tremblay,295025930,0.9365131625831562,Lionsgate,Family,Drama,
Argylle,200000000,96221061,139,8.7359,6.033,1490,False,Matthew Vaughn,Bryce Dallas Howard,-103778939,-1.0785470241281168,Marv,Action,Adventure,Comedy
The Founder,15000000,24121245,115,8.7317,7.132,5080,False,John Lee Hancock,Michael Keaton,9121245,0.3781415511512776,Speedie Distribution,Drama,History,
The 40 Year Old Virgin,26000000,177400000,116,8.7312,6.406,6859,False,Judd Apatow,Steve Carell,151400000,0.8534385569334837,Universal Pictures,Comedy,Romance,
Hellboy: The Crooked Man,20000000,2014050,100,8.7308,5.271,414,False,Brian Taylor,Jack Kesy,-17985950,-8.930240063553537,Dark Horse Entertainment,Fantasy,Horror,Action
The Northman,70000000,69633110,137,8.7041,7.047,4562,False,Robert Eggers,Alexander Skarsgård,-366890,-0.005268901532618607,Focus Features,Action,Adventure,Fantasy
Mortal Kombat,20000000,84426031,110,8.6969,7.0,5985,True,Simon McQuoid,Lewis Tan,64426031,0.7631062391171747,Atomic Monster,Action,Fantasy,Adventure
Texas Chainsaw 3D,20000000,47300000,92,8.6875,5.5,1716,True,John Luessenhop,Alexandra Daddario,27300000,0.5771670190274841,Lionsgate,Horror,Thriller,
Jack the Giant Slayer,195000000,197700000,114,8.6855,5.854,4984,False,Bryan Singer,Nicholas Hoult,2700000,0.013657056145675266,New Line Cinema,Fantasy,Action,Adventure
Hitch,70000000,371600000,118,8.6792,6.566,5914,False,Andy Tennant,Will Smith,301600000,0.8116254036598493,Columbia Pictures,Comedy,Drama,Romance
Flipped,14000000,4324817,89,8.6683,8.027,3134,False,Rob Reiner,Madeline Carroll,-9675183,-2.237131189597155,Reiner / Greisman Productions,Romance,Drama,
The Iron Claw,15900000,40130232,132,8.6542,7.55,1021,False,Sean Durkin,Zac Efron,24230232,0.6037899805812237,A24,History,Drama,
